restaurant_id,restaurant_name,has_menu,method,valid_review_count,top1_menu,top1_count,top2_menu,top2_count,top3_menu,top3_count,top4_menu,top4_count,top5_menu,top5_count
catchtable_1i8lssN-161skT6mTBLBkw,지즈,True,weighted_match,1237,카레,155,카츠산도,27,에비산도,12,로스카츠 정식,2,상로스카츠 정식,2
catchtable_9HalP46utxBIIq9BpLvl8A,이정태 본참치,True,weighted_match,302,7번방코스 - 1인 기준,41,퀄리티 골드 참치 - 1인 기준,19,퀄리티 스페셜 참치 - 1인 기준,18,퀄리티 프리미엄 참치 - 1인 기준,15,새우튀김덮밥,6
catchtable_MJdyW9FH83IcqL3UFVHy8A,가토스(GATOS),True,weighted_match,413,스페인 꿀대구,3,씨푸드 빠에야,1,제철 생선 세비체,1,구운 닭,1,칼솟스프,1
catchtable_mmYDRBkQ7Ley0SLgPTBZlw,도원스타일 압구정점,True,weighted_match,258,돈마호크 탕수육,1,동파육,1,칠리 새우,1,프리미엄 짬뽕,1,셰프 셀렉션,1
catchtable_nUwMQiFcxAw0YWNVrWsFiw,서울다이닝,True,weighted_match,1196,런치,75,디너,39,,,,,,
catchtable_chj6XWeZyY-iLd5YQs2AxQ,갓포우오 종각점,True,weighted_match,1761,제철 사시미 모리아와세,99,전복 게우소스 비빔면,40,카니미소 코라야키,31,참치등살 와라야키,4,,
catchtable_qS6U2yO2LxKbPjMo0GAdpw,용가회전훠궈 강남점,True,weighted_match,1383,평일점심 (~15:00),39,평일 저녁 (15:00~),39,주말 및 공휴일,31,,,,
catchtable_w1fVeb4kmyYqmWv9BPDsMg,미카도스시 인천루원시티점,True,weighted_match,133,간장새우초밥,37,간장새우 모둠초밥(10P),36,광어초밥,27,장어초밥,23,연어양파초밥,23
catchtable_i2e5g3_hQSaO-fEGghoPjg,스시쿠마쿤,True,weighted_match,145,스시 오마카세,56,,,,,,,,
catchtable_qBanULIyYfOh1HiQkYCavw,두끼 떡볶이 NC가든파이브점,True,weighted_match,280,학생(중/고등학생),13,성인,4,36개월 미만,2,초등학생,2,미취학아동,2
catchtable_sI-fNHFg_DNummtftWta8A,창고43 잠실점,True,weighted_match,149,육회,12,특안심,9,새우살,6,육사시미,6,양념갈비석박지볶음밥,6
catchtable_3RQvE7i8X7oQzjRVQlEtOw,자갈치횟집,True,weighted_match,1893,매운탕,157,알밥,75,메로조림,62,날치알,14,물회,10
catchtable_y9m4KVINyP0luE_Prjydcg,야키토리 스미,True,weighted_match,225,야키토리 스미 코스 메뉴,33,,,,,,,,
catchtable__ONXpAJe1zJjRggOfkLrDw,스미스앤월렌스키(Smith and Wollensky),True,weighted_match,1000,월렌스키 샐러드,88,마켓 프레쉬 그린 샐러드,41,드라이에이징-본 인 립아이,32,자이언틱 당근 케이크,28,어니언 스프,26
catchtable_6FH0wDibmWq2HmPGcNTIIg,이속우화,True,weighted_match,1315,성게알 & 트러플 (1人),88,한우맡김차림(홀코스),74,한우맡김차림(룸코스),74,등심 (100g),45,안심 (100g),42
catchtable_jlHYJURHmYGgQcOGN_ON0Q,고트델리 서촌,True,weighted_match,231,잠봉뵈르,29,애플베이컨,11,코울슬로,4,스모키베이컨피자,4,루벤,3
catchtable_oSEyVq8Sgv0ThZYB8GtV_g,코튼클럽 사운즈한남 ,True,weighted_match,205,라이브 재즈 공연비 & 공연 시간,122,트러플 뇨끼,9,와인 콜키지 (Wine Corkage),4,수크레 크레이프 케익,2,코튼하우스 샐러드,1
catchtable_cVRGrtqOsE4An87U9mgdLA,마리포사 페어몬트 앰배서더 서울,True,weighted_match,264,,,,,,,,,,
catchtable_J5jBq4IqqgWDU0MnLWRqQQ,이테르 명동,True,weighted_match,244,KOREAN SEASONAL FISH 한국 제철 생선,26,KOREAN-ITALIAN WOODEN PLATER 코리안 이탈리안 우든 플래터,21,"TRUFFLE GOSARI 트러플 “고사리""",20,"DUCK DURUP 오리 ""봄 두릅""",14,"PERILLA BOTTARGA 들기름 ""어란""",12
catchtable_w5bwOvpZilKKD7HIexKEEQ,퀴진케이프로젝트 ,True,weighted_match,344,시즌2 : 오감으로 즐기는 모던 강원도 9코스,83,,,,,,,,
catchtable_87sTlLGIlxTlmNTani5xlQ,The Round 청담점,True,weighted_match,166,북경오리,11,샥스핀찜,1,흑초탕수육,1,돼지감자 탕수육,1,동파육,1
catchtable_daj9mrSmpjgV5X8cdbJQPA,더플레이스다이닝,True,weighted_match,892,비스테카 알라 피오렌티나(메뉴 예약 필수),147,피자 세트,52,레몬 소르베,19,비스테카 립아이,18,이탈리안 시저 샐러드,15
catchtable_XZZw-iTJHG51Y46FwK7GdA,Truffle di Alba (트러플 디 알바),True,weighted_match,2527,,,,,,,,,,
catchtable_CPD6Nd5_3GEZjjaJBKhTcw,테판야키 소고,True,weighted_match,167,테판야키 소고 샥스핀 코스,31,테판야키 소고 대게구이 코스,29,소고 시그니처 코스,28,테판야키 소고 스페셜 코스,26,테판야키소고 킹크랩 코스구이,12
catchtable_T2KL8LZ35yCpKAQ9bkXdvw,누데이크 티 하우스 | NUDAKE TEAHOUSE,True,weighted_match,246,MUSH-RAGU,1,BEAUTY & BEAST,1,,,,,,
